Time,AreaNormed,Counts Nr1d1,Counts Cry1
21,0.870292771,15,21
21,1.411502889,12,21
21,1.543954636,47,16
21,0.581852046,11,24
21,0.848802255,27,5
21,0.756700047,17,11
21,1.861356389,122,13
21,0.924384544,8,7
21,0.813277118,6,5
21,1.284021738,15,6
21,1.020726377,16,6
21,0.781699218,55,5
21,1.375392976,9,9
21,0.647639337,16,7
21,0.870000383,28,7
21,0.861974333,20,4
21,1.547170904,32,10
21,0.645154039,39,3
21,0.597933383,4,3
21,1.442349819,20,17
21,1.525534195,48,8
21,0.9356561,12,6
21,1.40784804,22,7
21,0.906402684,17,7
21,0.961956397,46,6
21,0.804066897,18,7
21,1.633132965,21,25
21,0.868099861,26,6
21,1.104056947,10,9
21,1.024673615,23,3
21,0.768410185,12,5
21,0.777459592,21,2
21,0.935948488,9,7
21,0.665328809,4,5
21,1.483883529,14,15
21,1.22687451,4,8
21,0.596471444,9,8
21,0.547204072,32,12
21,1.090460906,70,12
21,1.020580183,30,7
21,0.926138871,25,17
21,1.35975022,112,8
21,0.662258735,40,6
21,2.866162242,21,22
21,0.835206215,2,7
21,1.078780007,8,13
21,2.210321422,95,6
21,0.679655819,26,5
21,1.03037518,58,1
21,0.82658077,30,2
21,1.113574175,28,5
21,1.037538685,24,7
21,1.064292184,11,11
21,0.824680248,35,3
21,0.790193088,6,23
21,0.924983939,31,16
21,1.053620023,36,5
21,0.963418337,14,17
21,1.252312263,16,16
21,0.827896516,3,15
21,0.919998724,19,1
21,0.802166375,38,9
21,1.388696628,14,16
21,0.87323127,28,8
21,1.324970672,3,6
21,0.783614359,18,4
21,1.443665565,23,17
21,1.134757683,39,8
21,1.172037148,60,6
21,1.303026955,27,8
21,0.859766804,20,16
21,0.647931725,7,2
21,1.155371034,17,4
21,1.062099274,8,6
21,0.484486854,8,6
21,1.477889576,20,17
21,0.613283752,37,4
21,1.099524933,29,8
21,1.049526592,37,11
21,0.748527804,6,4
21,0.288733113,10,3
21,0.915174323,40,9
21,1.583734019,22,24
21,0.552759443,48,5
21,1.034761,19,13
21,0.978490936,18,8
21,0.848232099,16,9
21,1.334180893,27,11
21,1.689710036,23,6
21,0.862398296,52,10
21,0.562846828,10,6
21,1.114290525,97,4
21,0.932717601,46,5
21,1.264724132,18,19
21,1.058005843,18,9
21,0.449107911,4,7
21,0.79719578,13,5
21,0.684334026,4,3
21,1.171452372,17,10
21,1.273495771,13,13
21,0.717812448,47,6
21,1.341344398,44,11
21,0.810645626,9,6
21,0.910203727,114,9
21,1.079510977,44,8
21,1.631393257,70,12
21,0.572934213,39,6
21,1.230076159,61,10
21,0.777167205,12,9
21,2.129476151,8,8
21,0.969573103,29,2
21,1.4457269,29,17
21,1.007437344,131,10
21,2.876819783,102,45
21,1.125986044,11,10
21,1.074964344,23,17
21,1.033737642,12,7
21,0.875263366,28,23
21,0.65290232,17,9
21,0.970596461,50,11
21,0.971473625,21,5
21,1.744240391,33,9
21,0.972774751,15,4
21,1.161657375,36,6
21,1.357864318,50,13
21,1.142082001,44,15
21,0.863714041,26,0
21,1.176715355,29,8
21,0.922630216,18,7
21,1.05976017,34,12
21,0.565770708,36,6
21,1.350832387,21,8
21,0.614307109,4,13
21,0.988856089,53,11
21,0.780398092,9,3
21,0.715765732,25,3
21,0.937118039,30,4
21,0.692959471,54,21
21,0.859912998,8,7
21,0.900993507,65,8
21,0.537993851,35,7
21,0.948798939,34,4
21,0.56547832,30,3
21,0.319726237,6,1
21,1.125708275,11,7
21,0.802897345,18,5
21,0.503214303,6,3
21,1.011092194,6,7
21,0.73769483,69,5
21,0.946752223,38,3
21,0.322226154,3,1
21,1.401854087,31,15
21,0.940612076,47,5
21,0.450277462,4,4
21,1.88999579,24,9
21,0.885058363,50,6
21,0.974236691,48,11
21,0.927615431,20,4
21,0.621616808,16,1
21,1.175691998,41,5
21,1.278334792,30,8
21,1.506382783,32,4
21,0.507731697,36,8
21,0.680986184,34,6
21,1.154201482,69,15
21,0.476738573,41,7
21,0.967365574,27,4
21,1.642065417,36,12
21,0.668998278,25,2
21,0.463581115,9,2
21,0.752168034,16,6
21,1.7615059,47,26
21,1.165897001,24,10
21,1.039015244,55,6
21,1.042655475,31,3
21,0.295311842,2,0
21,0.945889678,44,5
21,0.63566605,48,7
21,0.714449987,7,12
21,1.632124226,21,21
21,0.824548674,6,8
21,1.154786258,20,8
21,0.894414778,37,5
21,1.037114723,7,9
21,0.893099032,19,5
21,0.780822054,18,1
21,0.46855171,3,8
21,0.72190588,2,7
21,0.994996237,19,9
21,0.578781972,44,6
21,0.901578283,18,15
21,1.998193956,50,24
21,0.906841266,43,6
21,1.002159742,42,14
21,1.389296024,16,12
21,0.908010818,66,17
21,1.088414191,2,10
21,1.280513082,70,7
21,1.676406383,78,13
21,1.301565015,14,11
21,0.878479634,21,4
21,0.916636263,44,7
21,1.219711005,18,14
21,0.866798734,16,2
21,0.935787674,12,5
21,1.444703542,31,9
21,0.763147202,22,10
21,0.679071043,16,1
21,0.720590134,33,11
21,0.603781143,7,13
21,0.840323004,14,7
21,1.434762352,26,6
21,0.635943819,20,5
21,0.543710036,11,12
21,0.798818533,17,10
21,0.572641825,11,17
21,0.68667313,9,37
21,1.326564186,12,7
21,1.591029098,19,9
21,0.988271314,67,4
21,0.836229573,12,7
21,1.029205628,16,6
21,0.653487096,3,4
21,1.085051729,11,10
21,0.7505599,17,4
21,0.652039776,12,2
21,0.666498361,70,8
21,0.738279606,10,4
21,0.573080407,16,4
21,0.699245812,17,4
